id,date,name
1,2022-01-01,Новий рік
2,2022-01-07,Різдво Христове за Юліанським календарем
3,2023-01-22,День Соборності України
4,2022-03-08,Міжнародний жіночий день
5,2022-04-24,Великдень
6,2022-05-01,День праці
7,2022-05-09,День Перемоги над нацизмом у Другій світовій війні
8,2022-06-12,Трійця
9,2022-06-28,День Конcтитуції України
10,2022-07-28,День Української Державності
11,2022-08-23,День Державного Прапора України
12,2022-08-24,День Незaлежності України
13,2022-10-14,День захисників і захисниць України
14,2022-12-06,День Збройних Сил України
15,2022-12-25,Різдво Христове за Григоріанським календарем
