id,date,name
1,2023-01-01,New Year's Day
2,2023-01-07,Orthodox Christmas
3,2023-02-23,Defender of the Fatherland Day
4,2023-03-08,International Women's Day
5,2023-03-18,russian occupation of Crimea
6,2023-05-01,International Workers' Day
7,2023-05-09,Victory Day
8,2023-06-12,russia Day
9,2023-10-07,putin's Birthday
10,2023-11-04,Unity Day
11,2023-11-07,Anniversary of the Great October Socialist Revolution
12,2023-12-12,Constitution Day of the russian federation
13,2023-12-17,Strategic Missile Forces Day
